Name,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global"
"Jean Paul Gaultier - Le Male",ბრენდი,"Jean Paul Gaultier",1,1,,,,
"Dior - Sauvage",მოცულობა,100ML,1,1,ბრენდი,Dior,1,1
"Tom Ford - Oud Wood",ბრენდი,"Tom Ford",1,1,მოცულობა,100ML,1,1
"Tom Ford - Bitter Peach",ბრენდი,"Tom Ford",1,1,მოცულობა,100ML,1,1
"Tom Ford - Vanilla S*x",ბრენდი,"Tom Ford",1,1,მოცულობა,100ML,1,1
"Tom Ford - F*cking Fabulous",ბრენდი,"Tom Ford",1,1,მოცულობა,100ML,1,1
"Mancera - Red Tobacco",ბრენდი,Mancera,1,1,მოცულობა,120ML,1,1
"Moschino - Toy Boy",ბრენდი,Moschino,1,1,მოცულობა,100ML,1,1
"Moschino - Toy 2",ბრენდი,Moschino,1,1,მოცულობა,100ML,1,1
"Carolina Herrera - Good Girl Supreme",ბრენდი,"Carolina Herrera",1,1,მოცულობა,80ML,1,1
"Paco Rabanne - Phantom",ბრენდი,"Paco Rabanne",1,1,მოცულობა,100ML,1,1
"Narciso Rodriguez - Poudree",ბრენდი,Narciso,1,1,მოცულობა,90ML,1,1
"Narciso Rodriguez - For Her",ბრენდი,Narciso,1,1,მოცულობა,100ML,1,1
"Narciso Rodriguez - For Her",ბრენდი,Narciso,1,1,მოცულობა,100ML,1,1
"Narciso Rodriguez - Rouge",ბრენდი,Narciso,1,1,მოცულობა,90ML,1,1
"Burberry - Weekend",ბრენდი,Burberry,1,1,მოცულობა,90ML,1,1
"Dior - Miss Dior (EDP)",ბრენდი,Dior,1,1,მოცულობა,100ML,1,1
"Armani - Si",ბრენდი,Armani,1,1,მოცულობა,100ML,1,1
"Armani - Si Intense",ბრენდი,Armani,1,1,მოცულობა,100ML,1,1
"Maison Francis Kurkdjian - Baccarat Rouge 540 Eau De Parfum",ბრენდი,"Maison Francis Kurkdjian",1,1,მოცულობა,75ML,1,1
"Maison Francis Kurkdjian - Oud Satin Mood",ბრენდი,"Maison Francis Kurkdjian",1,1,მოცულობა,75ML,1,1
"Armani - Stronger With You Absolutely",ბრენდი,Armani,1,1,მოცულობა,100ML,1,1
"Armani - Stronger With You Intensely",ბრენდი,Armani,1,1,მოცულობა,100ML,1,1
"Armani - Stronger With You",ბრენდი,Armani,1,1,მოცულობა,100ML,1,1
